position_id,ticker,asset_class,quantity,price,market_value,trade_date
POS-00050,TSLA,equity,455,364.87,166015.04,2026-04-23
POS-00051,META,equity,140,486.13,68058.11,2026-04-23
POS-00052,AMZN,equity,391,372.6,145686.83,2026-04-23
POS-00053,V,equity,230,172.51,39677.0,2026-04-23
POS-00054,MSFT,equity,57,456.17,26001.75,2026-04-23
POS-00055,MSFT,equity,233,141.06,32867.8,2026-04-23
POS-00056,JNJ,equity,159,310.65,49393.16,2026-04-23
POS-00057,XOM,equity,96,435.48,41805.74,2026-04-23
POS-00058,AAPL,equity,381,373.76,142401.92,2026-04-23
POS-00059,WMT,equity,221,332.29,73435.86,2026-04-23
POS-00060,GOOGL,equity,296,342.43,101359.57,2026-04-23
POS-00061,WMT,equity,51,237.11,12092.78,2026-04-23
POS-00062,V,equity,30,272.3,8168.88,2026-04-23
POS-00063,GOOGL,equity,171,115.04,19671.14,2026-04-23
POS-00064,JNJ,equity,60,314.44,18866.4,2026-04-23
POS-00065,V,equity,93,466.3,43366.28,2026-04-23
POS-00066,NFLX,equity,294,206.09,60590.88,2026-04-23
POS-00067,WMT,equity,299,60.26,18018.26,2026-04-23
POS-00068,GOOGL,equity,479,267.04,127910.51,2026-04-23
POS-00069,JPM,equity,393,87.23,34280.8,2026-04-23
POS-00070,NVDA,equity,248,270.82,67162.9,2026-04-23
POS-00071,META,equity,469,307.28,144113.21,2026-04-23
POS-00072,XOM,equity,242,170.14,41173.65,2026-04-23
POS-00073,NFLX,equity,172,284.3,48900.04,2026-04-23
POS-00074,PG,equity,225,59.73,13438.22,2026-04-23
POS-00075,TSLA,equity,414,453.27,187654.75,2026-04-23
POS-00076,XOM,equity,78,299.32,23346.67,2026-04-23
POS-00077,NVDA,equity,63,352.51,22208.01,2026-04-23
POS-00078,MSFT,equity,147,346.74,50970.81,2026-04-23
POS-00079,JNJ,equity,366,395.89,144896.24,2026-04-23
POS-00080,NVDA,equity,62,462.21,28656.73,2026-04-23
POS-00081,NFLX,equity,122,66.84,8153.95,2026-04-23
POS-00082,GOOGL,equity,281,216.92,60953.12,2026-04-23
POS-00083,NVDA,equity,416,413.71,172104.68,2026-04-23
POS-00084,NFLX,equity,165,478.8,79002.78,2026-04-23
POS-00085,WMT,equity,152,281.78,42829.91,2026-04-23
POS-00086,DIS,equity,135,471.22,63614.65,2026-04-23
POS-00087,GOOGL,equity,90,70.21,6318.88,2026-04-23
POS-00088,NVDA,equity,223,496.57,110734.89,2026-04-23
POS-00089,GOOGL,equity,446,386.87,172545.63,2026-04-23
POS-00090,PG,equity,446,452.05,201614.74,2026-04-23
POS-00091,MSFT,equity,264,192.17,50732.37,2026-04-23
POS-00092,AAPL,equity,388,347.75,134926.06,2026-04-23
POS-00093,META,equity,193,92.51,17854.43,2026-04-23
POS-00094,V,equity,375,168.11,63040.21,2026-04-23
POS-00095,AAPL,equity,469,158.44,74306.84,2026-04-23
POS-00096,AAPL,equity,70,424.0,29680.05,2026-04-23
POS-00097,DIS,equity,85,130.67,11107.01,2026-04-23
POS-00098,TSLA,equity,303,443.55,134396.53,2026-04-23
POS-00099,AAPL,equity,106,189.65,20102.44,2026-04-23
POS-00100,NFLX,equity,390,487.32,190055.54,2026-04-23
POS-00101,JPM,equity,255,114.75,29262.24,2026-04-23
POS-00102,NFLX,equity,16,153.35,2453.52,2026-04-23
POS-00103,NVDA,equity,74,354.95,26266.03,2026-04-23
POS-00104,NFLX,equity,69,277.85,19171.54,2026-04-23
POS-00105,DIS,equity,350,311.5,109025.87,2026-04-23
POS-00106,META,equity,107,411.86,44068.6,2026-04-23
POS-00107,AAPL,equity,360,382.54,137715.41,2026-04-23
POS-00108,PG,equity,74,105.69,7821.0,2026-04-23
POS-00109,XOM,equity,464,228.91,106214.33,2026-04-23
POS-00110,NFLX,equity,157,269.86,42368.46,2026-04-23
POS-00111,JPM,equity,334,480.03,160330.18,2026-04-23
POS-00112,JPM,equity,150,466.16,69924.57,2026-04-23
POS-00113,JPM,equity,22,299.84,6596.46,2026-04-23
POS-00114,GOOGL,equity,320,97.65,31249.23,2026-04-23
POS-00115,JNJ,equity,78,238.6,18610.91,2026-04-23
POS-00116,AAPL,equity,483,318.22,153699.85,2026-04-23
POS-00117,GOOGL,equity,467,411.96,192386.45,2026-04-23
POS-00118,META,equity,239,403.14,96351.31,2026-04-23
POS-00119,PG,equity,18,99.11,1784.07,2026-04-23
POS-00120,NVDA,equity,416,408.57,169964.16,2026-04-23
POS-00121,META,equity,123,288.85,35528.1,2026-04-23
POS-00122,V,equity,306,440.48,134787.65,2026-04-23
POS-00123,V,equity,305,235.66,71875.45,2026-04-23
POS-00124,MSFT,equity,193,241.65,46637.86,2026-04-23
POS-00125,MSFT,equity,329,440.37,144881.99,2026-04-23
POS-00126,NVDA,equity,232,161.53,37474.45,2026-04-23
POS-00127,NVDA,equity,125,385.71,48213.3,2026-04-23
POS-00128,PG,equity,410,97.38,39923.81,2026-04-23
POS-00129,DIS,equity,42,317.5,13334.8,2026-04-23
POS-00130,TSLA,equity,81,421.1,34109.01,2026-04-23
POS-00131,NVDA,equity,162,114.74,18588.26,2026-04-23
POS-00132,DIS,equity,461,124.49,57389.56,2026-04-23
POS-00133,GOOGL,equity,149,119.13,17749.78,2026-04-23
POS-00134,META,equity,66,59.52,3928.1,2026-04-23
POS-00135,JNJ,equity,37,128.59,4757.78,2026-04-23
POS-00136,PG,equity,36,316.01,11376.53,2026-04-23
POS-00137,JPM,equity,343,227.13,77906.86,2026-04-23
POS-00138,PG,equity,165,277.04,45711.07,2026-04-23
POS-00139,V,equity,438,433.01,189658.04,2026-04-23
POS-00140,XOM,equity,31,131.67,4081.9,2026-04-23
POS-00141,DIS,equity,126,162.22,20440.28,2026-04-23
POS-00142,WMT,equity,289,237.32,68584.93,2026-04-23
POS-00143,NVDA,equity,34,218.13,7416.3,2026-04-23
POS-00144,DIS,equity,266,95.75,25470.13,2026-04-23
POS-00145,MSFT,equity,418,73.38,30674.03,2026-04-23
POS-00146,META,equity,463,94.6,43800.22,2026-04-23
POS-00147,PG,equity,423,456.19,192970.03,2026-04-23
POS-00148,AMZN,equity,489,410.91,200935.79,2026-04-23
POS-00149,XOM,equity,391,339.12,132594.93,2026-04-23
POS-00150,WMT,equity,391,110.55,43224.46,2026-04-23
POS-00151,PG,equity,272,281.4,76540.88,2026-04-23
POS-00152,NFLX,equity,430,258.26,111051.68,2026-04-23
POS-00153,V,equity,198,337.8,66885.09,2026-04-23
POS-00154,AMZN,equity,140,112.9,15805.41,2026-04-23
POS-00155,META,equity,244,237.6,57974.45,2026-04-23
POS-00156,WMT,equity,123,215.38,26491.78,2026-04-23
POS-00157,JPM,equity,189,197.37,37303.5,2026-04-23
POS-00158,META,equity,195,358.58,69923.98,2026-04-23
POS-00159,AMZN,equity,155,476.99,73932.84,2026-04-23
POS-00160,JNJ,equity,459,266.41,122282.05,2026-04-23
POS-00161,V,equity,170,290.95,49460.76,2026-04-23
POS-00162,NFLX,equity,425,343.66,146057.33,2026-04-23
POS-00163,AMZN,equity,404,289.73,117048.91,2026-04-23
POS-00164,V,equity,320,179.67,57494.41,2026-04-23
POS-00165,GOOGL,equity,370,141.08,52200.36,2026-04-23
POS-00166,XOM,equity,350,437.32,153063.25,2026-04-23
POS-00167,DIS,equity,74,326.47,24158.85,2026-04-23
POS-00168,WMT,equity,56,376.57,21088.03,2026-04-23
POS-00169,XOM,equity,51,471.17,24029.82,2026-04-23
POS-00170,JNJ,equity,77,481.5,37075.2,2026-04-23
POS-00171,GOOGL,equity,402,317.16,127497.07,2026-04-23
POS-00172,META,equity,393,407.8,160266.06,2026-04-23
POS-00173,DIS,equity,473,164.02,77582.65,2026-04-23
POS-00174,JNJ,equity,299,92.77,27738.87,2026-04-23
POS-00175,JPM,equity,311,127.08,39522.22,2026-04-23
POS-00176,MSFT,equity,286,307.59,87971.81,2026-04-23
POS-00177,JPM,equity,238,285.18,67873.86,2026-04-23
POS-00178,JNJ,equity,384,409.66,157309.49,2026-04-23
POS-00179,JPM,equity,251,319.82,80274.08,2026-04-23
POS-00180,GOOGL,equity,466,103.88,48408.13,2026-04-23
POS-00181,V,equity,67,89.47,5994.43,2026-04-23
POS-00182,JPM,equity,332,238.37,79140.08,2026-04-23
POS-00183,DIS,equity,389,352.05,136949.06,2026-04-23
POS-00184,JNJ,equity,173,454.26,78587.84,2026-04-23
POS-00185,PG,equity,383,171.74,65776.7,2026-04-23
POS-00186,V,equity,188,191.5,36001.62,2026-04-23
POS-00187,NVDA,equity,87,116.5,10135.72,2026-04-23
POS-00188,MSFT,equity,468,247.06,115622.59,2026-04-23
POS-00189,V,equity,197,378.36,74536.64,2026-04-23
POS-00190,GOOGL,equity,280,471.26,131953.64,2026-04-23
POS-00191,TSLA,equity,392,265.72,104160.79,2026-04-23
POS-00192,GOOGL,equity,194,493.98,95832.93,2026-04-23
POS-00193,AAPL,equity,361,478.04,172571.57,2026-04-23
POS-00194,META,equity,68,432.74,29426.33,2026-04-23
POS-00195,DIS,equity,322,104.86,33766.45,2026-04-23
POS-00196,JPM,equity,298,358.74,106905.52,2026-04-23
POS-00197,XOM,equity,16,254.44,4071.09,2026-04-23
POS-00198,JNJ,equity,414,182.91,75725.39,2026-04-23
POS-00199,NFLX,equity,234,249.04,58275.68,2026-04-23
POS-00200,AAPL,equity,157,463.3,72737.92,2026-04-23
POS-00201,V,equity,392,99.76,39107.8,2026-04-23
POS-00202,TSLA,equity,498,445.64,221928.73,2026-04-23
POS-00203,JNJ,equity,149,426.6,63563.92,2026-04-23
POS-00204,AAPL,equity,62,499.6,30975.02,2026-04-23
POS-00205,AAPL,equity,336,342.56,115098.9,2026-04-23
POS-00206,WMT,equity,54,453.67,24497.91,2026-04-23
POS-00207,PG,equity,24,158.37,3800.94,2026-04-23
POS-00208,META,equity,80,399.55,31963.65,2026-04-23
POS-00209,PG,equity,107,459.79,49197.23,2026-04-23
POS-00210,NVDA,equity,331,66.27,21936.44,2026-04-23
POS-00211,AAPL,equity,12,73.25,878.95,2026-04-23
POS-00212,PG,equity,306,410.67,125664.05,2026-04-23
POS-00213,NFLX,equity,126,432.23,54461.48,2026-04-23
POS-00214,AMZN,equity,38,410.43,15596.48,2026-04-23
POS-00215,NFLX,equity,464,397.45,184416.23,2026-04-23
POS-00216,PG,equity,352,427.09,150336.07,2026-04-23
POS-00217,META,equity,29,140.8,4083.26,2026-04-23
POS-00218,MSFT,equity,71,277.04,19669.77,2026-04-23
POS-00219,XOM,equity,375,333.51,125064.5,2026-04-23
POS-00220,MSFT,equity,427,119.85,51174.18,2026-04-23
POS-00221,PG,equity,369,136.87,50504.54,2026-04-23
POS-00222,AAPL,equity,142,369.46,52462.91,2026-04-23
POS-00223,JPM,equity,490,325.19,159345.37,2026-04-23
POS-00224,JPM,equity,36,327.34,11784.21,2026-04-23
POS-00225,AAPL,equity,30,447.87,13435.97,2026-04-23
POS-00226,META,equity,357,127.91,45662.99,2026-04-23
POS-00227,TSLA,equity,54,132.59,7159.86,2026-04-23
POS-00228,TSLA,equity,490,256.35,125612.62,2026-04-23
POS-00229,XOM,equity,394,336.38,132535.2,2026-04-23
POS-00230,DIS,equity,290,115.31,33439.5,2026-04-23
POS-00231,AMZN,equity,473,185.6,87790.78,2026-04-23
POS-00232,META,equity,293,364.9,106915.46,2026-04-23
POS-00233,AMZN,equity,328,473.27,155231.73,2026-04-23
POS-00234,GOOGL,equity,82,278.76,22858.22,2026-04-23
POS-00235,JNJ,equity,207,263.38,54518.82,2026-04-23
POS-00236,MSFT,equity,68,110.34,7503.3,2026-04-23
POS-00237,NFLX,equity,146,187.12,27319.09,2026-04-23
POS-00238,WMT,equity,219,324.94,71162.82,2026-04-23
POS-00239,META,equity,320,235.31,75300.77,2026-04-23
POS-00240,GOOGL,equity,210,147.93,31065.9,2026-04-23
POS-00241,NFLX,equity,298,192.67,57415.19,2026-04-23
POS-00242,DIS,equity,27,238.28,6433.56,2026-04-23
POS-00243,JPM,equity,242,151.52,36667.06,2026-04-23
POS-00244,MSFT,equity,290,304.6,88333.23,2026-04-23
POS-00245,XOM,equity,353,341.58,120576.62,2026-04-23
POS-00246,XOM,equity,329,192.3,63265.51,2026-04-23
POS-00247,AMZN,equity,395,297.11,117360.41,2026-04-23
POS-00248,GOOGL,equity,221,331.71,73306.94,2026-04-23
POS-00249,JPM,equity,186,280.73,52216.27,2026-04-23
POS-00250,PG,equity,370,448.88,166086.08,2026-04-23
POS-00251,MSFT,equity,461,276.63,127528.65,2026-04-23
POS-00252,V,equity,264,409.94,108224.6,2026-04-23
POS-00253,AMZN,equity,164,426.82,69998.82,2026-04-23
POS-00254,TSLA,equity,252,102.14,25738.15,2026-04-23
POS-00255,AAPL,equity,45,428.9,19300.36,2026-04-23
POS-00256,PG,equity,37,176.28,6522.18,2026-04-23
POS-00257,XOM,equity,173,127.85,22117.62,2026-04-23
POS-00258,JNJ,equity,163,384.21,62626.5,2026-04-23
POS-00259,DIS,equity,17,422.23,7177.88,2026-04-23
POS-00260,JNJ,equity,429,217.52,93315.1,2026-04-23
POS-00261,JNJ,equity,85,320.38,27232.15,2026-04-23
POS-00262,JNJ,equity,68,214.21,14566.53,2026-04-23
POS-00263,JPM,equity,479,497.96,238522.37,2026-04-23
POS-00264,META,equity,388,189.93,73693.88,2026-04-23
POS-00265,V,equity,346,367.43,127131.77,2026-04-23
POS-00266,V,equity,200,338.4,67679.98,2026-04-23
POS-00267,TSLA,equity,15,144.08,2161.14,2026-04-23
POS-00268,V,equity,267,123.69,33024.72,2026-04-23
POS-00269,JNJ,equity,91,426.34,38796.66,2026-04-23
POS-00270,DIS,equity,494,300.19,148292.0,2026-04-23
POS-00271,AMZN,equity,421,495.64,208666.44,2026-04-23
POS-00272,WMT,equity,79,251.71,19885.13,2026-04-23
POS-00273,PG,equity,202,86.02,17376.48,2026-04-23
POS-00274,PG,equity,380,245.2,93176.21,2026-04-23
POS-00275,JPM,equity,239,117.8,28154.88,2026-04-23
POS-00276,NVDA,equity,98,458.2,44903.27,2026-04-23
POS-00277,NFLX,equity,31,154.78,4798.29,2026-04-23
POS-00278,GOOGL,equity,153,270.59,41400.1,2026-04-23
POS-00279,NFLX,equity,297,271.98,80778.21,2026-04-23
POS-00280,AAPL,equity,51,159.65,8142.17,2026-04-23
POS-00281,PG,equity,423,336.91,142515.01,2026-04-23
POS-00282,XOM,equity,328,351.59,115322.0,2026-04-23
POS-00283,V,equity,383,76.15,29165.0,2026-04-23
POS-00284,JNJ,equity,189,292.79,55336.81,2026-04-23
POS-00285,DIS,equity,175,430.02,75252.71,2026-04-23
POS-00286,NVDA,equity,246,395.88,97387.07,2026-04-23
POS-00287,JNJ,equity,427,277.16,118345.68,2026-04-23
POS-00288,META,equity,455,314.21,142963.63,2026-04-23
POS-00289,MSFT,equity,426,203.27,86591.26,2026-04-23
POS-00290,XOM,equity,254,289.13,73440.28,2026-04-23
POS-00291,JPM,equity,61,229.35,13990.27,2026-04-23
POS-00292,NFLX,equity,459,333.87,153248.4,2026-04-23
POS-00293,TSLA,equity,96,202.49,19438.56,2026-04-23
POS-00294,NVDA,equity,103,61.17,6300.55,2026-04-23
POS-00295,WMT,equity,464,251.69,116785.69,2026-04-23
POS-00296,META,equity,160,319.31,51090.36,2026-04-23
POS-00297,XOM,equity,13,175.11,2276.43,2026-04-23
POS-00298,GOOGL,equity,354,335.2,118659.52,2026-04-23
POS-00299,JNJ,equity,491,329.16,161618.04,2026-04-23
POS-00300,DIS,equity,243,392.64,95412.65,2026-04-23
POS-00301,WMT,equity,452,374.31,169189.56,2026-04-23
POS-00302,NVDA,equity,481,401.9,193315.02,2026-04-23
POS-00303,META,equity,434,101.35,43984.53,2026-04-23
POS-00304,JPM,equity,368,248.04,91278.69,2026-04-23
POS-00305,WMT,equity,281,344.35,96761.25,2026-04-23
POS-00306,META,equity,485,493.06,239134.17,2026-04-23
POS-00307,GOOGL,equity,151,380.19,57408.55,2026-04-23
POS-00308,NFLX,equity,377,205.92,77632.51,2026-04-23
POS-00309,AAPL,equity,70,68.43,4789.83,2026-04-23
POS-00310,JPM,equity,390,270.36,105442.3,2026-04-23
POS-00311,DIS,equity,492,259.24,127545.12,2026-04-23
POS-00312,NVDA,equity,489,235.21,115017.3,2026-04-23
POS-00313,MSFT,equity,398,88.17,35091.13,2026-04-23
POS-00314,AMZN,equity,282,410.93,115881.39,2026-04-23
POS-00315,AMZN,equity,463,420.16,194535.19,2026-04-23
POS-00316,AMZN,equity,28,217.72,6096.05,2026-04-23
POS-00317,NFLX,equity,33,99.18,3272.84,2026-04-23
POS-00318,DIS,equity,340,370.97,126128.5,2026-04-23
POS-00319,WMT,equity,389,439.46,170948.17,2026-04-23
POS-00320,V,equity,372,410.39,152665.9,2026-04-23
POS-00321,TSLA,equity,33,155.54,5132.85,2026-04-23
POS-00322,MSFT,equity,314,436.16,136953.11,2026-04-23
POS-00323,META,equity,12,281.58,3379.0,2026-04-23
POS-00324,AMZN,equity,341,63.32,21593.24,2026-04-23
POS-00325,V,equity,206,453.04,93325.35,2026-04-23
POS-00326,WMT,equity,339,156.95,53204.78,2026-04-23
POS-00327,META,equity,427,206.61,88224.24,2026-04-23
POS-00328,V,equity,428,184.52,78976.55,2026-04-23
POS-00329,JNJ,equity,299,228.62,68358.29,2026-04-23
POS-00330,MSFT,equity,144,448.95,64648.93,2026-04-23
POS-00331,PG,equity,101,88.17,8904.69,2026-04-23
POS-00332,JNJ,equity,177,372.94,66009.96,2026-04-23
POS-00333,META,equity,405,499.43,202270.98,2026-04-23
POS-00334,WMT,equity,155,233.57,36203.95,2026-04-23
POS-00335,XOM,equity,77,308.69,23769.31,2026-04-23
POS-00336,GOOGL,equity,498,365.4,181967.43,2026-04-23
POS-00337,V,equity,301,226.57,68196.39,2026-04-23
POS-00338,JPM,equity,458,273.61,125314.51,2026-04-23
POS-00339,TSLA,equity,75,214.42,16081.52,2026-04-23
POS-00340,MSFT,equity,42,140.89,5917.4,2026-04-23
POS-00341,XOM,equity,18,253.98,4571.57,2026-04-23
POS-00342,NFLX,equity,320,204.48,65434.11,2026-04-23
POS-00343,META,equity,215,481.64,103553.5,2026-04-23
POS-00344,NFLX,equity,378,293.39,110899.71,2026-04-23
POS-00345,NFLX,equity,149,453.65,67593.64,2026-04-23
POS-00346,TSLA,equity,125,196.4,24550.53,2026-04-23
POS-00347,DIS,equity,455,288.29,131173.74,2026-04-23
POS-00348,NFLX,equity,373,315.84,117806.51,2026-04-23
POS-00349,WMT,equity,330,184.72,60958.42,2026-04-23
POS-00350,PG,equity,128,195.12,24975.56,2026-04-23
POS-00351,GOOGL,equity,86,443.44,38135.97,2026-04-23
POS-00352,AAPL,equity,148,302.67,44795.19,2026-04-23
POS-00353,AMZN,equity,398,402.72,160282.9,2026-04-23
POS-00354,WMT,equity,224,264.32,59206.74,2026-04-23
POS-00355,NFLX,equity,497,353.57,175723.73,2026-04-23
POS-00356,AMZN,equity,409,456.15,186565.06,2026-04-23
POS-00357,NVDA,equity,395,133.33,52665.63,2026-04-23
POS-00358,GOOGL,equity,285,95.85,27317.93,2026-04-23
POS-00359,META,equity,329,479.91,157889.48,2026-04-23
POS-00360,V,equity,261,244.84,63902.62,2026-04-23
POS-00361,GOOGL,equity,27,481.9,13011.26,2026-04-23
POS-00362,V,equity,60,68.49,4109.14,2026-04-23
POS-00363,AAPL,equity,130,79.49,10333.53,2026-04-23
POS-00364,NFLX,equity,233,282.24,65761.81,2026-04-23
POS-00365,V,equity,163,72.93,11887.95,2026-04-23
POS-00366,PG,equity,64,223.03,14273.73,2026-04-23
POS-00367,V,equity,39,364.19,14203.23,2026-04-23
POS-00368,META,equity,111,185.93,20638.47,2026-04-23
POS-00369,JPM,equity,203,237.47,48207.29,2026-04-23
POS-00370,GOOGL,equity,10,100.43,1004.32,2026-04-23
POS-00371,META,equity,432,50.55,21839.71,2026-04-23
POS-00372,MSFT,equity,259,270.28,70001.46,2026-04-23
POS-00373,AAPL,equity,173,244.1,42228.81,2026-04-23
POS-00374,XOM,equity,392,428.54,167988.33,2026-04-23
POS-00375,JPM,equity,137,195.12,26731.54,2026-04-23
POS-00376,XOM,equity,128,265.94,34040.13,2026-04-23
POS-00377,PG,equity,344,152.71,52533.55,2026-04-23
POS-00378,V,equity,172,468.67,80611.77,2026-04-23
POS-00379,JPM,equity,33,257.35,8492.43,2026-04-23
POS-00380,PG,equity,358,117.7,42138.14,2026-04-23
POS-00381,WMT,equity,33,112.19,3702.35,2026-04-23
POS-00382,AAPL,equity,460,54.17,24916.77,2026-04-23
POS-00383,DIS,equity,102,64.08,6535.91,2026-04-23
POS-00384,GOOGL,equity,64,329.07,21060.3,2026-04-23
POS-00385,JPM,equity,128,306.15,39186.61,2026-04-23
POS-00386,AMZN,equity,299,432.25,129241.52,2026-04-23
POS-00387,JPM,equity,12,434.02,5208.2,2026-04-23
POS-00388,JPM,equity,313,123.23,38572.42,2026-04-23
POS-00389,DIS,equity,388,434.97,168768.82,2026-04-23
POS-00390,NVDA,equity,134,463.46,62103.26,2026-04-23
POS-00391,XOM,equity,232,321.54,74597.51,2026-04-23
POS-00392,DIS,equity,492,212.69,104644.09,2026-04-23
POS-00393,V,equity,408,193.28,78858.08,2026-04-23
POS-00394,XOM,equity,401,320.33,128452.44,2026-04-23
POS-00395,NVDA,equity,116,236.31,27412.16,2026-04-23
POS-00396,WMT,equity,165,85.15,14049.55,2026-04-23
POS-00397,PG,equity,24,205.92,4941.97,2026-04-23
POS-00398,TSLA,equity,19,124.47,2364.92,2026-04-23
POS-00399,WMT,equity,365,368.64,134553.99,2026-04-23
POS-00400,NVDA,equity,371,192.72,71498.72,2026-04-23
POS-00401,MSFT,equity,446,317.22,141481.79,2026-04-23
POS-00402,AMZN,equity,71,114.67,8141.81,2026-04-23
POS-00403,JNJ,equity,349,127.82,44610.85,2026-04-23
POS-00404,V,equity,258,496.3,128045.02,2026-04-23
POS-00405,AMZN,equity,11,57.46,632.07,2026-04-23
POS-00406,XOM,equity,496,313.09,155291.39,2026-04-23
POS-00407,TSLA,equity,72,453.79,32672.59,2026-04-23
POS-00408,MSFT,equity,441,291.29,128458.97,2026-04-23
POS-00409,GOOGL,equity,314,172.93,54301.35,2026-04-23
POS-00410,JNJ,equity,34,317.56,10796.88,2026-04-23
POS-00411,MSFT,equity,154,348.63,53688.94,2026-04-23
POS-00412,NFLX,equity,419,58.17,24374.17,2026-04-23
POS-00413,AAPL,equity,301,154.08,46376.95,2026-04-23
POS-00414,PG,equity,438,164.15,71897.27,2026-04-23
POS-00415,WMT,equity,309,299.09,92419.85,2026-04-23
POS-00416,JPM,equity,204,354.93,72405.59,2026-04-23
POS-00417,JPM,equity,365,305.12,111369.53,2026-04-23
POS-00418,NVDA,equity,381,492.54,187656.86,2026-04-23
POS-00419,GOOGL,equity,215,281.56,60535.91,2026-04-23
POS-00420,NFLX,equity,16,408.21,6531.41,2026-04-23
POS-00421,TSLA,equity,264,233.58,61665.82,2026-04-23
POS-00422,NFLX,equity,56,450.35,25219.34,2026-04-23
POS-00423,WMT,equity,203,357.16,72503.83,2026-04-23
POS-00424,JPM,equity,83,482.7,40063.88,2026-04-23
POS-00425,AMZN,equity,97,139.79,13560.01,2026-04-23
POS-00426,DIS,equity,430,460.66,198084.76,2026-04-23
POS-00427,AMZN,equity,113,261.41,29539.38,2026-04-23
POS-00428,DIS,equity,369,445.26,164302.63,2026-04-23
POS-00429,WMT,equity,195,282.66,55118.46,2026-04-23
POS-00430,MSFT,equity,373,379.01,141371.17,2026-04-23
POS-00431,XOM,equity,393,306.47,120442.8,2026-04-23
POS-00432,META,equity,61,456.79,27864.07,2026-04-23
POS-00433,JNJ,equity,434,409.14,177568.43,2026-04-23
POS-00434,JPM,equity,58,141.98,8234.77,2026-04-23
POS-00435,META,equity,374,60.41,22594.48,2026-04-23
POS-00436,AMZN,equity,489,219.72,107440.69,2026-04-23
POS-00437,PG,equity,362,449.41,162685.33,2026-04-23
POS-00438,WMT,equity,203,193.61,39302.75,2026-04-23
POS-00439,TSLA,equity,308,311.45,95925.13,2026-04-23
POS-00440,TSLA,equity,210,320.8,67367.71,2026-04-23
POS-00441,XOM,equity,468,260.44,121885.04,2026-04-23
POS-00442,MSFT,equity,106,219.74,23292.73,2026-04-23
POS-00443,TSLA,equity,203,109.0,22126.78,2026-04-23
POS-00444,NVDA,equity,89,358.05,31866.71,2026-04-23
POS-00445,AAPL,equity,176,479.7,84427.95,2026-04-23
POS-00446,JNJ,equity,129,94.52,12192.57,2026-04-23
